player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Jonathan Ward,25859,HB,C MICHIGAN,10,165,39,11,33.6,354,1,1053,1,9,39,579,86.8,27,58,134,6,54,38.6,79.3,11.8,,41.6,71.6,80.2,64.9,86,2,289,29,168,193,0,0,35,194,15,1053,579,3.51,6.4,1.72,107
Justin Henderson,78560,HB,LA TECH,12,165,37,14,47.7,456,0,956,1,4,37,620,82.8,23,53,208,2,56,72.9,72.3,86.5,,64.6,65.8,72.9,51.1,75,0,196,21,137,217,0,0,25,186,15,956,620,3.76,5.8,1.43,99
Anthony Jones,45670,HB,FIU,11,165,30,6,25.2,200,0,794,6,3,30,534,61.0,16,37,166,1,39,81.7,73.1,47.4,,88.3,37.9,75.2,66.5,65,1,123,10,115,226,0,0,19,175,9,794,534,3.24,4.8,1.07,126
George Holani,72154,HB,BOISE ST,12,164,41,12,36.7,335,1,914,2,12,41,613,107.1,20,42,120,3,54,62.9,75.2,12.7,,49.4,61.1,77.8,58.3,50,3,165,21,129,212,0,0,27,185,7,914,613,3.74,5.6,1.28,108
Frankie Hickson,45679,HB,LIBERTY,12,162,29,14,38.9,350,0,899,4,1,29,535,57.3,20,51,206,1,98,90.5,83.0,84.5,,68.8,46.0,86.0,60.5,66,0,96,11,132,176,0,0,19,173,12,899,535,3.3,5.5,0.73,63
Gerold Bright,34612,HB,UTAH ST,12,162,43,9,27.4,221,0,808,2,13,43,462,82.7,22,54,329,2,50,73.0,75.6,84.6,,56.2,68.0,77.6,58.0,67,0,207,31,247,205,0,0,37,193,8,808,462,2.85,5.0,0.84,112
CJ Verdell,57378,HB,OREGON,12,162,33,10,37.6,362,0,963,2,3,33,625,78.9,23,45,264,0,34,90.4,75.4,87.3,,25.6,59.5,78.3,58.6,89,0,125,14,160,171,0,0,18,176,5,963,625,3.86,5.9,0.78,128
Michael Carter,57337,HB,N CAROLINA,12,159,41,16,49.6,456,0,919,1,5,41,617,99.7,23,35,245,1,70,82.7,83.2,84.5,,80.8,73.2,82.4,55.5,60,0,156,20,152,190,0,0,23,179,3,919,617,3.88,5.8,1.03,83
Jason Huntley,45693,HB,NEW MEX ST,12,159,52,23,57.8,635,1,1098,3,6,52,601,111.9,34,57,242,4,7,54.3,80.9,52.9,,52.0,64.7,86.1,57.7,57,1,180,37,230,210,0,0,48,196,9,1098,601,3.78,6.9,0.78,148
Taven Birdow,57046,HB,AIR FORCE,12,159,20,4,14.8,108,0,732,1,0,20,410,32.2,10,42,101,3,34,60.0,68.9,50.9,,73.9,42.9,66.9,70.0,41,1,16,1,22,339,0,0,2,160,6,732,410,2.58,4.6,0.73,9
SaRodorick Thompson,77777,HB,TEXAS TECH,12,159,41,8,28.0,214,0,763,1,8,41,453,70.9,20,52,315,3,15,63.3,77.3,85.4,,68.9,71.5,79.8,67.7,58,0,152,38,301,171,0,0,42,197,12,763,453,2.85,4.8,0.5,141
Bryce Perkins,35299,QB,VIRGINIA,12,115,34,10,29.6,267,0,602,0,0,21,291,46.2,26,52,335,6,38,48.1,63.5,64.5,56.3,,,72.7,60.0,67,3,0,0,0,284,301,42,0,115,11,903,554,3.53,5.8,,38
Drake Anderson,83729,HB,NWESTERN,12,155,32,4,12.3,79,0,641,4,1,32,413,55.0,14,32,256,3,58,59.6,65.4,84.5,,43.7,40.0,69.5,62.1,31,0,19,5,105,218,0,0,10,160,3,641,413,2.66,4.1,0.18,95
Shakif Seymour,40052,HB,TOLEDO,12,154,33,11,30.1,223,0,741,3,2,33,486,65.0,18,37,316,1,92,80.7,72.2,84.4,,62.9,53.6,74.1,65.5,35,0,124,16,145,168,0,0,19,170,5,741,486,3.16,4.8,0.86,62
DK Billingsley,57432,HB,TROY,12,154,28,12,39.2,353,0,901,5,6,28,533,65.7,25,48,318,1,31,81.0,69.7,55.0,,24.7,46.6,79.4,56.6,70,1,211,25,307,178,0,0,40,179,10,901,533,3.46,5.9,0.69,114
Kadin Remsberg,83598,TE,AIR FORCE,12,154,35,10,23.6,207,0,877,0,2,35,359,54.9,29,57,101,2,26,69.5,70.4,69.5,,67.1,50.0,72.8,60.1,29,1,24,3,73,498,0,0,4,157,7,877,359,2.33,5.7,0.33,52
Isaiah Spiller,99146,HB,TEXAS A&M,12,154,25,12,49.3,434,0,880,2,4,25,675,70.2,21,48,312,2,39,72.1,71.9,56.4,,48.2,59.5,75.7,67.9,85,1,207,27,239,218,0,0,35,181,9,880,675,4.38,5.7,0.87,115
Marcel Murray,83618,HB,ARK STATE,10,153,26,10,30.4,231,0,761,1,4,26,434,52.2,25,37,113,1,79,80.9,76.4,84.4,,54.5,58.1,79.7,48.2,57,0,73,10,163,175,0,0,12,163,6,761,434,2.84,5.0,0.45,69
Darius Anderson,45958,HB,TCU,12,153,43,10,35.3,293,0,830,0,5,43,595,106.7,21,33,305,0,30,90.3,80.0,85.0,,29.6,68.8,82.0,57.5,77,1,128,22,164,198,0,0,26,175,6,830,595,3.89,5.4,0.78,122
Miles Reed,52077,HB,HAWAII,13,152,38,13,33.3,268,0,804,1,0,38,407,66.1,32,50,180,2,44,69.7,76.3,52.8,,70.6,36.4,78.9,59.3,31,1,11,2,87,202,0,0,4,154,7,804,407,2.68,5.3,0.13,95
Tre Siggers,57347,HB,N TEXAS,10,152,35,15,47.4,403,0,850,2,0,35,619,87.4,23,44,251,3,88,59.8,78.9,83.2,,78.0,49.2,80.6,66.1,53,0,60,11,121,164,0,0,15,163,6,850,619,4.07,5.6,0.5,63
