player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
Elijah Benton,51373,S,LIBERTY,11,4,12.0,45.8,96.3,34.9,16.0,0,0,5,20.8,206,84.2,76.2,85.2,64.8,62.4,73.9,1,22,4.0,1,4,0,82.1,11,395,410,6,20,24,3,113,36,0.3,10.3
Melvin Tyus,51374,S,TROY,12,4,7.1,73.7,98.8,22.8,16.8,0,0,1,5.3,318,67.7,67.5,84.8,67.9,64.3,54.1,1,30,14.3,3,1,0,105.2,14,333,337,2,14,19,2,130,54,0.4,9.3
Brice McAllister,51375,S,UMASS,11,5,13.8,74.2,91.6,9.4,7.0,0,0,1,3.2,216,69.6,62.7,86.7,53.6,54.6,55.4,3,40,14.8,4,1,1,116.0,23,229,250,3,18,31,8,397,144,1.8,17.3
Austin Perkins,51377,S,NEW MEX ST,8,0,17.3,42.9,100.0,23.7,10.1,0,0,0,0.0,242,78.9,77.9,0.0,,77.5,74.6,1,33,33.3,1,0,1,23.2,3,75,75,0,2,7,0,42,14,0.6,14.0
Amani Hooker,51378,CB,IOWA,12,6,7.9,53.3,93.7,11.8,6.3,0,0,10,16.7,192,91.1,90.8,59.4,62.5,78.2,78.2,4,52,9.4,3,6,2,51.4,32,400,427,12,23,60,2,310,209,0.8,9.7
Zedrick Woods,51380,S,OLE MISS,12,6,9.6,54.8,96.7,23.1,12.6,0,0,4,12.9,226,71.0,77.1,59.0,52.1,86.2,91.6,2,79,9.1,2,3,1,89.1,17,410,424,3,14,31,4,213,103,0.5,12.5
Jaymon Thomas,51385,S,USF,10,4,15.7,69.2,92.7,17.1,11.8,0,0,2,15.4,327,57.1,62.0,28.9,53.2,71.2,58.4,1,31,14.3,2,2,2,109.3,9,165,178,3,8,13,2,131,32,0.9,14.6
Cedarius Rookard,51387,S,TROY,11,2,12.8,63.6,99.4,23.0,14.6,0,0,3,13.6,318,78.7,75.3,86.1,55.5,67.7,78.1,4,44,10.5,2,3,0,78.0,14,336,338,2,15,22,2,170,63,0.5,12.1
Khairi Muhammad,51389,S,N TEXAS,12,4,14.8,54.5,97.2,24.1,13.2,0,0,4,12.1,251,78.4,75.8,50.3,65.3,71.3,68.5,4,42,11.1,3,2,6,39.1,18,450,463,4,20,33,0,247,66,0.6,13.7
Marcus Epps,51391,S,WYOMING,12,6,8.5,62.8,97.1,14.3,9.0,0,3,9,20.9,351,81.3,81.7,57.4,82.0,79.9,85.0,0,26,2.6,1,8,1,81.6,27,401,413,12,32,43,1,201,84,0.5,7.4
