player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Tyrone Tracy,84226,WR,IOWA,12,47.4,0,192,52.2,,62.0,0,0,0,0.0,0.0,,1,0,0,207,0,0,0,437,0,223,0,0,207,1
Matt Bjorson,83984,TE,INDIANA,12,74.7,0,190,62.8,41.8,63.5,2,3,44,40.0,39.7,92.0,1,6,1,207,0,0,0,277,46,116,0,0,161,229
Xavier Hutchinson,122518,WR,IOWA STATE,12,33.4,0,193,83.0,,58.3,0,0,0,0.0,0.0,,2,0,0,207,0,0,0,619,0,409,0,0,207,3
Braden Lenzy,84348,WR,NOTRE DAME,12,38.8,0,258,61.2,,55.5,0,0,0,0.0,0.0,,1,0,0,206,0,0,0,531,0,321,0,0,206,0
Conrad Rowley,98045,G,NWESTERN,5,100.0,0,256,69.2,56.7,72.7,1,2,93,100.0,100.0,97.3,1,4,1,206,6,129,0,206,98,98,71,0,108,0
Kendall Randolph,58466,TE,ALABAMA,12,96.3,0,103,71.8,59.3,72.0,0,4,63,88.7,89.2,93.7,0,6,2,206,0,30,0,214,66,74,0,0,140,183
Joe Horn,128084,C,UMASS,9,100.0,0,216,59.0,40.9,61.9,0,7,98,100.0,100.0,95.4,0,8,1,206,206,0,0,206,103,103,0,0,103,0
Deyunkrea Lewis,123711,TE,TROY,11,58.7,0,318,62.7,25.7,69.4,3,1,18,11.8,11.7,88.9,2,4,0,205,0,0,1,349,19,163,0,0,186,202
Shameen Jones,61609,WR,RUTGERS,12,42.4,0,278,61.8,,58.6,0,0,0,0.0,0.0,,0,0,0,205,0,0,0,484,0,275,0,0,205,0
Bryce Singleton,55172,WR,FIU,12,40.9,0,166,74.7,,62.8,0,0,0,0.0,0.0,,1,0,0,205,0,0,0,501,0,296,0,0,205,2
Pokey Wilson,55894,WR,FLORIDA ST,11,39.6,1,167,61.3,,63.9,0,0,0,0.0,0.0,,2,0,0,205,0,0,0,518,0,313,0,0,205,1
Kyle Patterson,104205,TE,AIR FORCE,4,87.9,0,101,75.7,77.8,75.4,0,0,4,12.5,12.5,100.0,1,0,0,204,0,0,13,232,4,32,0,6,200,143
Austin Myers,40815,T,MEMPHIS,4,100.0,0,218,50.5,56.4,46.9,2,2,104,100.0,100.0,97.1,0,5,1,204,0,0,204,204,110,110,0,0,94,0
Corey Rucker,121539,WR,ARK STATE,12,28.4,0,113,65.5,,48.4,0,0,0,0.0,0.0,,0,0,0,204,0,0,0,718,0,513,0,0,204,1
Avery Davis,60502,WR,NOTRE DAME,9,41.0,0,258,69.7,,65.3,0,0,0,0.0,0.0,,0,0,0,204,0,0,0,497,0,290,0,0,204,2
Jeremiah Hall,57083,TE,OKLAHOMA,12,60.4,0,261,79.4,71.6,58.0,0,1,28,18.4,19.4,98.2,1,1,0,204,0,0,0,338,31,160,0,0,173,181
Beaux Collins,144112,WR,CLEMSON,10,50.8,0,140,66.4,,54.1,0,0,0,0.0,0.0,,1,0,0,203,0,0,0,400,0,197,0,0,203,2
Smoke Harris,78918,WR,LA TECH,12,32.0,1,208,74.9,,64.7,0,0,0,0.0,0.0,,5,0,0,203,0,0,0,635,0,431,0,0,203,5
Kedon Slovis,100580,QB,USC,9,37.0,0,326,79.2,,60.0,0,0,0,0.0,0.0,,3,0,0,203,0,0,0,549,0,339,0,0,203,0
Quentin Johnston,123085,WR,TCU,9,45.4,0,305,76.0,,64.8,0,0,0,0.0,0.0,,1,0,0,203,0,0,0,447,0,242,0,0,203,0
Riley Smith,82091,TE,BOISE ST,11,54.1,0,120,51.4,66.5,42.5,0,4,53,24.5,24.2,96.2,2,4,0,203,0,0,0,375,55,227,0,12,148,185
Elijah Kothe,84399,WR,S DIEGO ST,12,54.4,0,284,72.2,,56.9,0,0,0,0.0,0.0,,0,0,0,203,0,0,0,373,0,170,0,0,203,3
Jared Wyatt,41006,WR,NEW MEX ST,12,30.1,0,242,65.8,,57.6,0,0,0,0.0,0.0,,2,0,0,203,0,0,0,675,0,472,0,0,203,0
Malik Washington,97108,WR,NWESTERN,12,39.6,0,256,64.0,,49.4,0,0,0,0.0,0.0,,2,0,0,202,0,0,0,510,0,304,0,0,202,4
Taye Barber,78107,WR,TCU,12,44.1,1,305,73.1,63.9,61.7,0,0,1,0.4,0.4,100.0,2,0,0,202,0,0,0,458,1,254,0,0,201,2
Bryson Jackson,78112,WR,N TEXAS,11,49.0,0,251,50.9,,58.0,0,0,0,0.0,0.0,,1,0,0,202,0,0,0,412,0,208,0,0,202,0
Skylar Thompson,60417,QB,KANSAS ST,9,43.2,0,199,81.0,,60.1,0,0,0,0.0,0.0,,2,0,0,202,0,0,0,468,0,247,0,0,202,0
Wes Harris,60108,G,TCU,4,100.0,0,305,55.7,61.4,52.7,0,4,94,100.0,100.0,97.9,1,4,0,202,0,0,0,202,99,99,202,0,103,0
Ethan Driskell,98530,T,MARSHALL,8,100.0,0,214,61.6,52.2,66.1,0,7,102,100.0,100.0,96.6,2,7,0,202,0,0,43,202,103,103,0,159,99,0
Jared Wiley,98508,TE,TEXAS,11,71.6,0,311,60.3,47.8,58.0,0,2,41,35.3,35.5,97.6,1,2,0,202,0,0,0,282,44,124,0,0,158,268
Axel Ruschmeyer,55236,G,MINNESOTA,12,94.4,0,225,91.7,66.9,84.6,0,0,26,72.2,69.2,100.0,4,0,0,201,0,7,0,213,27,39,11,0,174,184
Kyren Lacy,122646,WR,LA LAFAYET,12,51.1,0,207,65.5,,67.0,0,0,0,0.0,0.0,,2,0,0,201,0,0,2,393,0,192,0,0,201,0
Javon Ivory,101116,WR,MEMPHIS,11,35.4,0,218,62.5,,56.4,0,0,0,0.0,0.0,,0,0,0,201,0,0,0,567,0,366,0,0,201,3
Troy Fautanu,100521,T,WASHINGTON,7,100.0,0,340,69.5,57.9,70.8,0,4,91,100.0,100.0,96.7,1,5,1,201,0,46,153,201,101,101,0,0,100,0
