player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Tyler Shatley,9257,G,JAX,12,100.0,0,15,47.5,51.3,44.6,3,5,288,100.0,100.0,98.3,0,9,1,518,2,473,1,518,302,302,42,0,216,0
Elijah Wilkinson,46238,G,ARZ,10,100.0,0,1,46.2,40.7,57.5,4,18,269,100.0,100.0,94.8,6,25,3,501,0,501,0,501,285,285,0,0,216,0
Connor Williams,46216,C,MIA,9,100.0,0,17,86.5,71.7,90.5,1,4,269,100.0,100.0,98.7,7,6,1,497,497,0,0,497,280,280,0,0,217,0
Stone Forsythe,41795,T,SEA,13,100.0,2,29,58.2,40.9,71.4,7,20,291,100.0,100.0,93.6,2,32,5,497,0,0,213,497,312,312,0,283,185,1
Jon Feliciano,9561,G,SF,10,100.0,0,28,81.2,66.5,87.0,2,13,247,100.0,100.0,97.0,2,15,0,478,26,208,0,478,257,257,244,0,221,0
Vederian Lowe,59741,T,NE,11,100.0,0,19,41.7,36.0,49.3,3,29,279,100.0,100.0,92.1,2,38,6,476,0,0,236,476,290,290,0,239,186,1
Jared Goff,10635,QB,DET,17,40.4,0,11,84.4,,60.3,0,0,0,0.0,0.0,,10,0,0,475,0,0,0,1175,0,675,0,0,475,0
Max Mitchell,81707,T,NYJ,9,100.0,0,22,49.3,47.5,49.4,4,20,315,100.0,100.0,94.3,1,30,6,474,0,0,0,474,336,336,81,392,138,1
Chris Hubbard,8051,T,TEN,9,100.0,0,31,69.0,67.8,64.1,4,10,268,100.0,100.0,95.9,0,18,4,473,0,0,0,473,292,292,0,472,181,1
Tyler Larsen,9304,C,WAS,7,100.0,0,32,50.3,28.7,60.9,4,17,314,100.0,100.0,95.7,0,24,3,466,466,0,0,466,325,325,0,0,141,0
Jarrett Patterson,81775,C,HST,7,100.0,0,13,60.4,53.7,62.9,1,7,257,100.0,100.0,98.4,1,8,0,464,464,0,0,464,277,277,0,0,187,0
Evan Neal,99063,T,NYG,7,100.0,1,21,39.8,38.5,51.1,5,23,288,100.0,100.0,94.4,5,30,2,460,0,0,0,460,309,309,0,460,151,0
Atonio Mafi,82449,G,NE,12,100.0,2,19,32.3,27.7,39.9,3,24,284,100.0,100.0,93.5,7,32,5,458,0,398,0,458,296,296,60,0,162,0
Sam LaPorta,101690,TE,DET,17,46.0,0,11,76.4,54.6,55.1,1,2,48,8.7,9.0,96.9,1,3,0,451,0,0,0,981,52,581,0,1,399,590
Cade Otton,61071,TE,TB,17,42.4,0,30,52.1,44.9,50.0,0,7,53,8.5,8.1,93.4,2,7,0,451,0,0,1,1063,54,666,0,0,397,589
Alec Pierce,78038,WR,IND,17,40.6,0,14,58.1,66.3,66.1,0,0,1,0.2,0.2,100.0,2,0,0,442,0,0,0,1090,1,649,0,0,441,1
Juice Scruggs,81800,G,HST,7,100.0,0,13,51.5,49.8,54.7,2,7,264,100.0,100.0,96.8,3,13,4,439,0,439,0,439,282,282,0,0,157,0
Chris Paul,77579,G,WAS,7,100.0,0,32,38.8,27.8,45.1,5,16,296,100.0,100.0,94.8,1,26,5,439,0,439,0,439,307,307,0,0,132,0
Phil Haynes,29244,G,SEA,8,100.0,2,29,52.0,59.4,53.7,2,5,274,100.0,100.0,96.9,6,12,5,437,0,73,0,437,299,299,364,0,138,0
Chukwuma Okorafor,46302,T,PIT,14,100.0,5,25,60.4,60.7,62.6,0,9,258,100.0,100.0,97.5,8,11,2,436,0,0,0,436,272,272,0,425,164,11
Cade Mays,81995,G,CAR,10,100.0,0,5,58.3,43.0,71.2,2,16,249,100.0,100.0,95.2,4,21,3,434,0,362,0,434,267,267,71,0,167,1
Cole Kmet,60995,TE,CHI,17,48.9,0,6,73.7,64.3,54.9,0,1,61,12.6,12.8,99.2,3,1,0,427,0,0,6,873,65,508,0,0,362,519
Chuma Edoga,46232,T,DAL,13,100.0,1,9,61.4,63.7,56.8,5,8,231,100.0,100.0,95.9,3,16,3,420,0,101,312,420,251,251,0,0,169,6
DeVonta Smith,61100,WR,PHI,16,40.2,0,24,73.0,,48.2,0,0,0,0.0,0.0,,1,0,0,419,0,0,0,1043,0,624,0,0,419,2
Robert Jones,100786,G,MIA,7,100.0,0,17,60.9,47.0,65.7,1,9,244,100.0,100.0,97.1,3,12,2,418,0,157,0,418,257,257,261,0,161,0
Trevor Penning,59963,T,NO,11,100.0,2,20,53.6,60.8,49.0,3,12,234,100.0,100.0,95.1,7,19,4,417,0,0,405,417,245,245,0,0,172,12
A.J. Brown,48327,WR,PHI,17,40.7,0,24,90.0,80.3,51.0,0,0,3,0.5,0.5,100.0,2,0,0,415,0,0,0,1019,3,607,0,0,412,25
David Njoku,11784,TE,CLV,16,42.7,1,8,68.4,67.1,55.6,0,2,55,9.6,9.2,96.4,2,3,1,414,0,0,4,970,56,612,0,3,358,616
Larry Borom,59879,T,CHI,9,100.0,0,6,48.0,45.2,50.4,6,16,217,100.0,100.0,93.5,5,25,3,411,0,0,408,411,225,225,0,0,186,3
George Kittle,11901,TE,SF,16,45.6,0,28,87.6,70.4,79.0,1,1,35,7.1,7.1,97.1,2,2,0,408,0,0,0,895,37,523,0,0,371,646
Tytus Howard,25472,G,HST,7,100.0,0,13,46.8,38.9,49.6,3,14,227,100.0,100.0,95.8,0,18,1,408,0,408,0,408,243,243,0,0,165,0
DJ Moore,48267,WR,CHI,17,39.6,1,6,89.3,,64.1,0,0,0,0.0,0.0,,2,0,0,405,0,0,0,1024,0,615,0,0,405,1
